title,text
专家：我国下半年出口有望保持稳定增长,海关总署7月13日公布的数据显示，上半年我国货物贸易进出口总值同比增长9.4%，6月当月进出口增速进一步提升至14.3%。
新闻播报（July 14）,今日播报内容：首条中欧班列线路第10000列重箱折列抵达德国；我国可再生能源实现跨越式发展。
BBC发音小课堂 （二） 元音 /ʌ/ 和 /ɑ:/,看“BBC发音小课堂”视频中的发音示范，跟读例词，练一练元音 /ʌ/ 和 /ɑ:/ 的正确读法。
美国：电子游戏成儿童多动症“良药”,孩子患有多动症，注意力不集中怎么办？或许你可以试着让孩子打打电子游戏。
一课译词：找茬,“找茬儿”，亦作找碴儿，意思是吹毛求疵地进行挑剔、批评，故意找麻烦等。可以翻译为“find fault with，pick holes/flaws in或pick a quarrel”等。
每日一词∣中国意大利文化和旅游年 China-Italy Year of Culture and Tourism,7月10日，国家主席习近平同意大利总统马塔雷拉分别向“意大利之源——古罗马文明展”开幕式致贺信。
新型城镇化建设激发经济增长新动力,国家发展和改革委员会7月12日印发《“十四五”新型城镇化实施方案》，预计将为经济增长注入新活力，推动我国高质量发展。
新闻播报（July 13）,今日播报内容：中巴“海洋卫士-2”海上联合演习开幕；韦伯太空望远镜拍摄的首张全彩色照片公布。
新闻播报（August 1）,今日播报内容：安哥拉发现300年来世界最大稀世粉钻；欧洲和美洲受猴痘疫情影响最大。
每日一词∣中国人民解放军建军95周年 95th founding anniversary of PLA,95年来，在党的坚强领导下，英雄的人民军队为民族独立、人民解放、国家富强建立了不朽功勋，为维护国家主权、安全、发展利益提供了强大支撑，为维护世界的和平与安宁作出了重要贡献。
美国GDP连续两季度下降 预示美国经济开始衰退,美国第一季度年化国内生产总值下降1.6%，而第二季度下降0.9%，从非官方角度来看，这预示着美国陷入经济衰退。
八月最值得一看的5部国外新片,关于好运气和坏运气的动画电影《祝你好运》、讲述精灵和愿望的《三千年的思念》和希区柯克式惊悚片《我曾来过》都值得一看。
每日一词|八一勋章 the August 1 Medal,7月27日，在庆祝中国人民解放军建军95周年之际，中共中央总书记、国家主席、中央军委主席习近平向三位“八一勋章”获得者颁授勋章和证书，向获得荣誉称号的单位颁授荣誉奖旗。
中国制造业综合实力持续提升 2021年制造业增加值占全球比重近30%,近日，工信部数据显示，中国制造业增加值占全球比重从2012年的22.5%提高到2021年的近30%，持续保持世界第一制造大国地位。
西班牙宣布节能新政：空调不得低于27度，商店晚10点后需关灯,西班牙政府通过一系列节能新政，要求企业、餐馆、博物馆等场所严格遵守室内温度要求，而商店橱窗的照明必须在晚上10时后关闭。
一课译词：咬耳朵,“咬耳朵”，汉语词语，意思是凑到另一人的耳边说话，表示低声耳语。可以翻译为“whisper，whisper in somebody’s ear”等。
每日一词∣国产大型客机C919 China's domestically developed C919 large passenger jet,中国商用飞机有限责任公司日前表示，国产大型客机C919已经完成取证试飞工作。业界专家认为，这意味着C919距离投入商业运行的目标已越来越近。
新闻播报（August 3）,今日播报内容：拜登宣布美国击毙“基地”组织头目扎瓦希里；最新研究：数百万人在感染新冠后可能会遭受长期的嗅觉或味觉问题。
那些限制你的执念，是你不幸的根本原因！,我们常陷在不合理的信念中，这些信念影响了我们看世界的角度和行为方式，继而导致了自证预言。
央行下半年将刺激内需和稳定房地产业 巩固经济回升向好趋势,中国人民银行日前在2022年下半年工作会议上指出，将扩大内需和化解房地产业风险，引导实际贷款利率稳中有降。
研究：全球5%新冠患者将长期存在嗅觉味觉功能障碍,一项跨国研究显示，全球约5%的新冠肺炎患者会长期存在嗅觉或味觉丧失问题，尤其是女性患者。
每日一词∣巡天空间望远镜 Xuntian Space Telescope,按照中国载人航天工程计划，中国首个大型空间巡天望远镜预计于2024年前后投入科学运行。
新闻播报（July 21）,今日播报内容：中国人均每周上网28.5个小时；美国总统拜登支持率降至36%。
一课译词：三伏天,“三伏天”，指出现在小暑与处暑之间，一年中气温最高且又潮湿、闷热的日子。
高通胀致工资缩水，美联邦最低工资已跌至66年来最低水平,据美国消费者新闻与商业频道7月20日报道，研究显示，受高通胀挤压，美国联邦最低工资价值处于1956年2月以来的最低水平。
BBC发音小课堂 （三） 元音 /iː/ 和 /ɪ/,/iː/ 和 /ɪ/ 这两个元音的区别是什么？
一课译词：无忧无虑,“无忧无虑”，意思是没有一点忧愁、顾虑和担心。可以翻译为“not have any worries and cares”。
每日一词∣胶轮地铁列车 rubber-tired metro,近日，由中国企业自主研发的首列胶轮地铁列车在湖南株洲下线。该列胶轮地铁列车将出口墨西哥城，助推墨西哥首都地铁一号线实现升级改造。列车最大载客量2252人，最高运营时速80公里。
新闻播报（July 22）,今日播报内容：叙利亚宣布与乌克兰断交；欧盟要求成员国减少15%的能源消耗。
英国通胀持续高企 能源价格飞涨和劳动力短缺或为主因,英国物价涨幅创下了40多年来的新高，与此同时，通胀率还在不断飙升。英格兰银行预测，英国今年的通胀率将会高达11%。
我国可再生能源实现跨越式发展 装机规模稳居全球首位,十年来，我国以水电、风电、光伏发电为代表的可再生能源实现跨越式发展，可再生能源发电总装机增长了约90倍。
An awe-inspiring speech? 令人惊叹的演讲,An awe-inspiring speech指的是令人惊叹、令人肃然起敬的演讲。
新闻播报（July 28）,今日播报内容：法国规定商店开空调期间须关紧门窗；美国累计超1400万儿童感染新冠。
一课译词：以貌取人,“以貌取人”，根据一个人的外貌衣着来衡量、判断他的品质才能或决定对待的态度。可以翻译为“judge a book by its cover”等。
深圳8月1日起将允许无人驾驶汽车上路,新规将自动驾驶汽车分为三类：有条件自动驾驶、高度自动驾驶和完全自动驾驶。完全自动驾驶的汽车可以不配备驾驶人。
每日一词∣ 香港科学园 Hong Kong Science Park,6月30日下午，国家主席习近平来到香港科学园考察。习近平指出，近年来，在中央支持下，香港发挥自身优势，在基础研究、人才培养、创科产业发展等方面都取得了令人瞩目的成绩。
一课译词：千变万化,“千变万化”，意思是变化纷繁，无穷无尽。可以翻译为“changeable，ever-changing，constantly changing”。
中国下半年稳增长如何发力，专家这样说,经济学家认为，中国宏观经济政策应加强逆周期和跨周期调整，以促进今年经济增长稳步复苏。
如何告别瞎忙，拥有高质量的生活？,随着生活节奏、工作节奏的加快，每个人都感到时间紧迫。杜克大学教授Dorie Clark揭示了我们如此忙碌背后的隐藏原因。
美国医生为规避堕胎禁令出奇招，计划建造“漂浮”诊所,美国加利福尼亚州一名医生提议在墨西哥湾建立“漂浮”的堕胎诊所，以规避墨西哥湾沿岸地区实施的禁止堕胎法。
每日一词∣华南国家植物园 South China National Botanical Garden,7月11日，华南国家植物园在广州正式揭牌。华南国家植物园致力于全球热带亚热带地区的植物保育、科学研究和知识传播。
一课译词：十万火急,“十万火急”，原是旧时文书急件中的批语。形容情况万分紧急，刻不容缓。可以翻译为“very urgent，in great haste”等。
为什么毕业季不要表白？网友的经验分享走心了,喜欢Ta就约人家出去喝喝咖啡，主动去了解人家，也让对方慢慢地接受自己。突然的热烈表白只会增加对方的心理负担。
雪碧宣布放弃绿瓶！曾是“全球第一大塑料污染企业”......,可口可乐公司表示，为了对环境更加负责，自8月1日起，雪碧将把北美地区绿色瓶包装改为透明塑料包装，从而结束了绿瓶沿用60多年的历史。
专家：中国将推出更多稳经济增量政策，推动经济复苏提速,经济学家认为，今年下半年，中国将继续推出一系列增量政策工具，进一步巩固经济向好趋势，推动经济复苏提速。
一课译词：心心念念,“心心念念”，意思是心里老是想着，形容殷切的盼望或惦念。可以翻译为“set one’s heart on something，constantly think of”等。
佩洛西又要“访台”，小心吹牛下不来台 | 小象漫评,经过美国多年军售，台湾已经成为一个火药罐，如果美国继续在中国耐心的边缘试探，这个罐子随时都可能爆燃。
All in? 全力支持,All in指的是全部投入，全力以赴，全力支持。
新闻播报（July 29）,今日播报内容：普通英雄“二舅”触动了无数人的心；美国千禧一代更多选择在家乡生活。
研究：常在白天小睡患高血压和中风风险更高,研究发现，与从不小睡的人相比，白天经常小睡的人随着时间的推移患高血压的可能性增加12%，中风的可能性增加24%。
一课译词：一知半解,“一知半解”，意思是知道得不全面，理解得也不透彻。可以翻译为“have half-baked Knowledge，have a smattering of knowledge”。
新闻播报（August 2）,今日播报内容：中国五个城市将开展特定养老储蓄试点工作；雪碧宣布放弃绿瓶改为透明瓶装。
新特别提款权货币篮子生效 人民币权重升至12.28%,8月1日，国际货币基金组织（IMF）正式上调人民币在特别提款权货币篮子中的权重，由10.92%上调至12.28%。
为防校园枪击案，美国得州多个学区要求学生背透明书包,在造成21人丧生的尤瓦尔迪市罗布小学枪击案发生后，得州不少学区宣布要实施这一安全措施，以防止枪支进入校园。
新闻播报（July 20）,今日播报内容：西班牙宣布9月起可免费坐火车；印度开始投票选举新一任总统。
一课译词：瞻前顾后,“瞻前顾后”，原形容做事谨慎，考虑周密，现在也形容顾虑太多，犹豫不决。可以翻译为“be over-cautious and indecisive”。
每日一词∣中国造船业 China's shipbuilding sector,据工业和信息化部的数据显示，今年1—6月，我国造船完工量、新接订单量、手持订单量三大指标在国际市场的份额继续位居世界第一。
专家：政府加快推进新基建将会带动充电产业的繁荣发展,专家指出，随着新能源汽车保有量迅速增长，在政府的利好政策支持下，中国的充电基础设施走上了快速发展的道路。
TED演讲：时间管理的关键在于选择,把你的零散时间利用起来，做一些有用的事情？那你就大错特错了！时间管理的关键在于选择。
2022新表情符号草图发布：有摇头脸 还有那只鹅,这次公布的入围表情符号虽然只有31个，但是却收获了不少好评，来看看都有哪些好玩又好用的新表情符号吧！
新闻播报（July 12）,今日播报内容：俄罗斯铺设草莓味柏油马路；马斯克终止对推特的收购。
Conventional wisdom? 传统智慧,Conventional wisdom指的是传统智慧，传统观点，世俗认知。
BBC发音小课堂 （一） 元音 /e/ 和 /æ/,每集视频中讲解并辨析一组易混的英语发音，并通过真人范读、相关例词教大家学习英式英语中的发音要领。
一课译词：东奔西跑,“东奔西跑”，形容到处奔走，或为某种目的而四处活动。可以翻译为“run around busily，hustle about或rush about/around”等。
美味的秘密：关于巧克力的10个冷知识,巧克力是广受喜爱的美食，据说就连拿破仑上战场都要随身携带巧克力，世界上甚至有专门纪念巧克力的节日。
每日一词∣中国国家博物馆 National Museum of China (NMC),中共中央总书记、国家主席、中央军委主席习近平7月8日给中国国家博物馆的老专家回信，在国博创建110周年之际，向国博全体同志致以热烈祝贺和诚挚问候。
新闻播报（July 11）,今日播报内容：广西发现中国第二个云朵石洞穴奇观；我国新能源汽车保有量突破1000万辆。
专家预计下半年中国经济将逐季回升,专家表示，随着一揽子刺激措施的实施，中国第二季度经济有望实现正增长，下半年中国经济可能出现显著回升。
每日新闻播报（June 24）,今日播报内容：我国成功发射天行一号试验卫星；两部门发文规范网络主播从业行为。
研究：“金鸡独立”可测试你的寿命,研究发现，无法单腿站立10秒钟的人的死亡风险要高出84%，患有肥胖、心脏病、高血压的比例也更大。
高通胀扰乱美国民众生活，超9成家庭被迫改变消费习惯,一项调查显示，95%的受访者表示，通货膨胀对他们的冲击很大，他们正在想方设法节省开支以维持收支平衡。
一课译词：心直口快,“心直口快”，汉语成语，意思是“意思是性情直爽，有话就说”。可以翻译为“be frank and outspoken，be straightforward”等。
每日一词∣跨境人民币业务 cross-border renminbi business,中国人民银行近日印发《关于支持外贸新业态跨境人民币结算的通知》，进一步发挥跨境人民币结算业务服务实体经济、促进贸易投资便利化的作用。
每日新闻播报（June 23）,今日播报内容：央企“十四五”加大投资新基建；翟志刚、王亚平、叶光富获颁航天功勋奖章。
最新健康指南：服用维生素基本是浪费钱,普通人服用维生素既不能降低患心脏病和癌症的风险，也不能延长寿命，部分维生素在服用后甚至对身体有害。
每日一词∣北京文化论坛 Beijing Culture Forum,首届北京文化论坛日前在京举行。论坛以“传承·创新·互鉴”为永久主题，包括开幕式暨主论坛、四个分论坛及相关活动。
中国处方药在线零售行业将迎来新发展,中国处方药零售占比和规模效应仍有较大提升空间，药品零售市场规模增速仍将持续保持较高水平，未来发展势头可期。
BBC发音小课堂 （四） 辅音 /ð/ 和 /θ/,在英语中，辅音 /ð/ 和 /θ/ 被称作“咬舌音”。
如何管理你的心理健康？ 来看看一位奥运奖牌获得者的答案,长期的心理压力是我们心理健康的敌人，而身体锻炼是我们应对压力的最佳武器。
人社部：落实落细举措助力高校毕业生就业,人力资源和社会保障部近日部署于7月至12月，对2022届离校未就业毕业生和35岁以下失业青年集中开展服务攻坚行动。
Carry water? 俯首听命,To carry someone’s water意思是对某人俯首听命、曲意逢迎。
美国科学家开发新算法：可提前一周预测犯罪，准确率高达90%,近日，芝加哥大学的科学家开发了一种新算法，可以提前一周预测犯罪，准确率约为 90%。
每日一词∣科技成果转化 commercialization of scientific and technological achievements,《中国科技成果转化2021年度报告（高等院校与科研院所篇）》（以下简称《报告》）近日在京发布。《报告》显示，我国科技成果转化活动持续活跃，2020年，3554家高校院所转化科技成果的合同项数为466882项，合同总金额为1256.1亿元。
一课译词：不能自已,“不能自已”，汉语成语，意思是不能控制或克制住自己的感情。可以翻译为“cannot control oneself，be beside oneself”等。
每日新闻播报（July 4）,今日播报内容：最新健康指南：服用维生素效果甚微；美国得州移民卡车惨案死亡人数升至53人。
专家：中国主粮生产自给自足 粮食安全有保障,尽管全球粮食生产和贸易面临着气候变化、疫情、战乱等因素带来的挑战，但是中国仍然有能力保障本国的粮食安全。
Fall for a fairy tale? 被骗,Fall for a fairy tale意思是被骗，相信谎言。
走起路来甜甜的：俄罗斯铺设草莓味柏油马路,近日俄罗斯一家公司试验用草莓味柏油材料铺设了一段道路，这种柏油路不但不难闻，还有甜甜的草莓味。
每日一词∣数字经济 digital economy,近年来，我国数字经济蓬勃发展，产业规模持续快速增长。据统计，从2012年至2021年，我国数字经济规模从11万亿元增长到超45万亿元，数字经济占GDP比重由21.6%提升至39.8%。
一课译词：提心吊胆,“提心吊胆”，形容对事情不能放心，非常害怕。与英文习语“have one’s heart in one’s mouth”意思相近。
独立日又出枪击案，美国人到底有没有人权？ | 小象漫评,枪支泛滥早已成美国痼疾，无论何时何地美国人都得防范枪击。
报告显示：二季度全国平均招聘薪资环涨3.3%,报告研究显示，今年二季度，全国38个核心城市平均招聘薪酬为10341元/月，比一季度的10014元/月上涨3.3%。
一课译词：无与伦比,“无与伦比”，意思是指事物非常完美，没有能够与它相比的同类的东西。可以翻译为“incomparable，matchless”。
每日一词∣消费品工业 consumer goods industry,工业和信息化部等五部门近日联合发布《数字化助力消费品工业“三品”行动方案（2022—2025年）》，提出到2025年，消费品工业领域数字技术融合应用能力明显增强。
新闻播报（July 6）,今日播报内容：中韩双方将交接第九批在韩中国人民志愿军烈士遗骸；美国伊利诺伊州独立日枪击案已致6人死亡。
TED演讲：如何走出人生的低谷？,当我们经历人生中的黑暗时光时，该如何走出来呢？芝加哥大学教授David Brooks给出的秘方是做一个“织网者”。
What is greenwashing? 何为“漂绿”？,Greenwashing字面意思为漂绿，指的是某些组织以某些行为宣示自身对环保的付出，实际上却反其道而行。
每日新闻播报（July 1）,今日播报内容：通信行程卡取消“星号”标记；我国二季度外贸运行出现积极变化。
世卫组织总干事谴责美堕胎裁决是“历史倒退”,世界卫生组织总干事谭德塞称这一裁决“令人失望”，最终将以生命为代价。他担心美国最高法院的裁决是“历史倒退”。
一课译词：不以为然,“不以为然”，汉语成语，意思是不认为是正确的，表示不同意或否定。可以翻译为“disapprovingly，deprecatingly”等。
每日一词∣可再生能源 renewable energy,据国家能源局消息，截至5月底，我国可再生能源发电总装机达到11亿千瓦，同比增长15.1%。数据显示，1-5月，全国可再生能源发电新增装机4349万千瓦，占全国发电新增装机的82.1%，已成为我国发电新增装机的主体。
哈佛大学：房价暴涨或让美国数百万人的住房梦成为泡影,哈佛大学日前发布的年度国家住房报告称，房价和房租的暴涨再加上利率的上调让数百万美国人的住房梦更加遥不可及。
每日一词∣黑土地保护法 law on black soil conservation,近日，十三届全国人大常委会第三十五次会议表决通过了黑土地保护法，将于2022年8月1日起施行。
每日新闻播报（June 28）,今日播报内容：京杭大运河京冀段通航；5月份国内5G手机出货量近1774万部。
Tear jerker? 催人泪下的电影或书,Tear jerker指的是催人泪下的电影、小说或故事。
西班牙塞维利亚成为世界首个给热浪命名和分级的城市,近年来全球热浪天气越来越频繁，气温屡创新高，为了保护居民安全，西班牙南部城市塞维利亚将率先对热浪进行命名和分级。
一课译词：一本正经,“一本正经”，汉语成语，形容态度庄重严肃，郑重其事，有时含讽刺意味。可以翻译为“be poker-faced，become serious/stuffy”等。
新格局迎来新机遇，外资持续看好中国市场,面对新冠肺炎疫情和错综复杂的国际环境，中国不断优化营商环境，为跨国公司在华发展提供了重要动力。
Baby steps? 慢慢来,Take baby steps意思是小步走，慢慢来。
新闻播报（July 19）,今日播报内容：梵高自画像被X光扫描发现，曾在画布背面隐藏100多年；田径世锦赛：王嘉男跳远摘金创历史 巩立姣铅球收获银牌。
"日本又双叒叕出奇葩发明：专为打工人设计的""睡眠盒""，站着就能午休",工作累了的话，可以站着在办公室睡一觉。据外媒报道，日本两家公司联合开发了一款“睡眠盒子”，人们可以在里面站着休息。
专家：下半年中国将助力稳定全球供应链,专家指出，中国的贸易顺差有利于稳定汇率和通胀水平，而且中国将继续致力于稳定全球供应链。
BBC发音小课堂 （五） 元音 /ʊ/ 和 /uː/,在英语中，即使包含拼写相同的字母组合，两个单词的发音也并不一定相同。
Front and center? C位,Front and center指的是最显眼最核心的位置。
一课译词：挖东墙补西墙,“挖东墙补西墙”，字面意思是挖这里的去补那里，比喻勉强应付。可以翻译为“rob Peter to pay Paul”。
每日一词∣上海合作组织 Shanghai Cooperation Organization (SCO),国务委员兼外长王毅日前在塔什干出席了上海合作组织外长会议。
All in all? 总而言之,All in all意思是总而言之。
通胀催高纽约犯罪率 肉罐头被装入防盗盒震惊市民,由于通货膨胀率居高不下，犯罪率达到空前水平，纽约市一些商超不得不把午餐肉罐头这样的廉价肉类都放在防盗盒子里。
每日一词∣香港故宫文化博物馆 Hong Kong Palace Museum,香港故宫文化博物馆将于7月2日正式向公众开放。开幕展将由香港故宫和北京故宫博物院共同策展，届时来自北京故宫博物院的900余件珍贵文物将在开幕展中轮换展出。
每日一词∣气候适应型社会 climate-resilient society,生态环境部等17部门近日联合印发了《国家适应气候变化战略2035》，提出到2035年，全社会适应气候变化能力显著提升，气候适应型社会基本建成。
太会玩！这个北欧城市用性感女声吸引人投放垃圾,为了让本地的垃圾桶“吃进”更多垃圾，瑞典马尔默市让垃圾桶发出性感女声，吸引行人把垃圾投放进垃圾桶。
世卫组织：全球30个国家和地区报告550多例猴痘病例,世卫组织表示，全球已有30个国家和地区报告550多例确诊猴痘病例。猴痘的全球公共卫生风险评估为中等。
每日新闻播报（June 10）,今日播报内容：湖南强降雨已致179万人受灾；英国开始试行四天工作制。
一课译词：聚精会神,“聚精会神”，汉语成语，形容专心致志，注意力高度集中的样子。可以翻译为“concentrate one's mind on”。
外媒：枪支暴力事件每年导致美国一个县损失7200万美元,美国枪支暴力已经严重危害到了民众的生命财产安全。光是在美国的圣克拉拉县，枪击事件每年造成的经济损失就高达7200万美元。
每日新闻播报（May 30）,今日播报内容：2022中国跨境电商交易会将重启；富国银行CEO:美国经济衰退难以避免；国办印发新污染物治理行动方案；'差钱'让美国人感到前所未有的精神压力。
一课译词：惊心动魄,“惊心动魄”，原指文辞优美，意境深远，使人感受极深，震动极大。现在常形容使人惊骇紧张到极点。可以翻译为“be soul-stirring”。
每日一词∣算力基础设施建设 building of computing infrastructure,工信部数据显示，截至2021年底，全国在用超大型、大型数据中心已超过450个，智算中心超过20个。
日本推出定制“抗洪屋”，不仅防水还能漂浮,日本房地产开发商Ichijo Komuten最近推出了一款“抗洪屋”，当洪水来袭时它不仅防水，还能浮起来。
网友向前同事要回份子钱引争议，“份子钱”用英文怎么说？,在国外，也会有人直接将现金作为礼物送给新人，如果一定要说，“份子钱”相当于“cash as a wedding gift”。
《孤勇者》火成小朋友的“接头暗号”？连陈奕迅本人都回应了,都说网络神曲的平均寿命只有51.9天，而《孤勇者》发行了8个月，依旧势如破竹，甚至成了小朋友居家上学必备的“接头暗号”。
新闻播报（July 8）,今日播报内容：人社部：落实落细举措助力高校毕业生就业；奥密克戎BA.4和BA.5毒株成美国主导毒株，病例占比超70%；中国第一历史档案馆新馆首次面向社会公众开放
一课译词：蝇头小利,“蝇头小利”，汉语成语，形容非常微小、微不足道的利益。可以翻译为“shoestring margin，trifling profit”等。
每日一词∣澜沧江—湄公河合作 Lancang-Mekong Cooperation（LMC）,近日，国务委员兼外长王毅在缅甸蒲甘出席澜沧江－湄公河合作第七次外长会。会后，王毅同缅甸外长温纳貌伦共同会见记者。
每日新闻播报（June 22）,今日播报内容：央行发文支持外贸新业态跨境人民币结算；亚洲最大铁路枢纽客站开通运营；著名词作家乔羽逝世；中国生物技术、癌症早筛领域前景广阔。
一课译词：吞吞吐吐,“吞吞吐吐”，意思是想说但又不痛痛快快地说，形容说话有顾虑。可以翻译为“hesitate in speech (speaking)，prevaricate”。
央行:支持外贸新业态跨境人民币结算,专家表示，中国鼓励跨境电商人民币结算的最新举措将有助于稳定外贸企业的经营，推动人民币国际化。
每日一词∣新冠疫苗知识产权豁免 waiver of COVID-19 vaccine patents,6月12日至17日在瑞士日内瓦举行的世界贸易组织第12届部长级会议就新冠疫苗知识产权豁免达成部长决定。商务部称，在会议谈判的关键阶段，作为新冠疫苗生产和供应大国，中国主动宣布不寻求享受豁免决定所提供的灵活性，彰显了大国担当。
发光冰淇淋、昆虫冰淇淋……现在的冰淇淋也太卷了吧,你尝试过哪些奇特的冰淇淋？今天要给大家介绍几款外国的口味奇特、造型罕见的创意冰淇淋。
一课译词：暴跳如雷,"""暴跳如雷”，意思是发怒时又跳又叫，像打雷一样，形容情绪急躁时大怒大吼的样子。可以翻译为“blow one's top，be in a violent rage”等。"
央企“十四五”加大投资新基建  推动转型和发展,“十四五”期间近70家中央企业超过700户的子企业在新基建领域规划投资项目1300多个，总投资超过10万亿元。
没有空调 炎炎夏日怎样才能凉快起来？,三伏天潮湿又闷热，没有空调的日子真是难以想象。但其实除了吹空调，还有很多办法能让你凉快起来。
一课译词：雨过天晴,“雨过天晴”，意思是阵雨过后天放晴，也比喻情势由坏变好。可以翻译为“after a storm comes a calm，after gloom comes brightness”等。
新闻播报（July 27）,今日播报内容：中国的无人机市场规模今年将达到150亿美元；美国首个同时感染新冠和猴痘病毒的病例。
英国机构：将非洲债务危机归咎于中国是转移目标,“债务正义”政策负责人蒂姆·琼斯指出：“西方领导人将非洲的债务危机归咎于中国，但这是在转移注意力。”
每日一词∣中非命运共同体 a China-Africa community with a shared future,7月25日，国家主席习近平向第二届中非和平安全论坛致贺信。
哈佛研究：高强度运动有益健康，但每周5小时以内就足够了,研究发现，每周进行75分钟的剧烈运动可以将死于心血管疾病的风险降低31%。然而，每周进行5小时以上剧烈运动对健康并没有任何额外益处。
新闻播报（July 26）,今日播报内容：神舟十四号航天员乘组顺利进入问天实验舱；C919六架试飞机完成全部试飞任务。
一课译词：千方百计,“千方百计”，意思是想尽种种办法；用出种种计谋。可以翻译为“use all ways and means或do one's utmost to”。
7月份最值得一看的精彩新片（上）,7月份佳片云集，有萌贱又搞笑的《小黄人》新作，有欢乐漫威大片《雷神4》，也有简•奥斯汀小说改编成的电影。
为什么追完剧就像失恋了？专家：你得了“剧后忧伤综合征”……,这种综合征是指在阅读一本书或观看一部剧以后出现忧郁、空虚的感受，当你知道已经结束却并不希望它结束时的苦涩感觉。
隔夜冰西瓜一口8400个细菌？医生：可以放冰箱，但要这样做！,冰西瓜到底能不能吃？怎么吃才安全呢？
6月PMI数据显示：制造业逐步恢复 服务业强劲反弹,随着国内疫情防控形势持续向好，6月份服务业和制造业采购经理人指数重回扩张区间，服务业恢复势头更强。
